Code;Date;Number
R1;1980-01-01;-1
R1;1981-01-01;-1
R1;1982-01-01;-1
R1;1983-01-01;-1
R1;1984-01-01;-1
R1;1985-01-01;-1
R1;1986-01-01;-1
R1;1987-01-01;-1
R1;1988-01-01;-1
R1;1989-01-01;-1
R1;1990-01-01;-1
R1;1991-01-01;-1
R1;1992-01-01;-1
R1;1993-01-01;-1
R1;1994-01-01;-1
R1;1995-01-01;-1
R1;1996-01-01;-1
R1;1997-01-01;10500
R1;1998-01-01;11000
R1;1999-01-01;6900
R1;2000-01-01;6900
R1;2001-01-01;9600
R1;2002-01-01;10000
R1;2003-01-01;9300
R1;2004-01-01;9600
R1;2005-01-01;10900
R1;2006-01-01;12800
R1;2007-01-01;14100
R1;2008-01-01;14100
R1;2009-01-01;12600
R1;2010-01-01;12700
R1;2011-01-01;14700
R1;2012-01-01;14800
R1;2013-01-01;14800
R1;2014-01-01;15200
R1;2015-01-01;14900
R1;2016-01-01;15200
R1;2017-01-01;17200
R1;2018-01-01;17000
AL;1980-01-01;-1
AL;1981-01-01;-1
AL;1982-01-01;-1
AL;1983-01-01;-1
AL;1984-01-01;-1
AL;1985-01-01;-1
AL;1986-01-01;-1
AL;1987-01-01;-1
AL;1988-01-01;-1
AL;1989-01-01;-1
AL;1990-01-01;-1
AL;1991-01-01;-1
AL;1992-01-01;-1
AL;1993-01-01;16
AL;1994-01-01;8
AL;1995-01-01;5
AL;1996-01-01;5
AL;1997-01-01;9
AL;1998-01-01;21
AL;1999-01-01;34
AL;2000-01-01;62
AL;2001-01-01;120
AL;2002-01-01;238
AL;2003-01-01;391
AL;2004-01-01;416
AL;2005-01-01;386
AL;2006-01-01;426
AL;2007-01-01;366
AL;2008-01-01;378
AL;2009-01-01;361
AL;2010-01-01;341
AL;2011-01-01;11
AL;2012-01-01;-1
AL;2013-01-01;4
AL;2014-01-01;13
AL;2015-01-01;19
AL;2016-01-01;25
AL;2017-01-01;24
AL;2018-01-01;18
DZ;1980-01-01;354
DZ;1981-01-01;354
DZ;1982-01-01;334
DZ;1983-01-01;308
DZ;1984-01-01;375
DZ;1985-01-01;258
DZ;1986-01-01;235
DZ;1987-01-01;180
DZ;1988-01-01;206
DZ;1989-01-01;204
DZ;1990-01-01;235
DZ;1991-01-01;176
DZ;1992-01-01;174
DZ;1993-01-01;146
DZ;1994-01-01;145
DZ;1995-01-01;162
DZ;1996-01-01;200
DZ;1997-01-01;241
DZ;1998-01-01;309
DZ;1999-01-01;284
DZ;2000-01-01;159
DZ;2001-01-01;145
DZ;2002-01-01;334
DZ;2003-01-01;326
DZ;2004-01-01;392
DZ;2005-01-01;524
DZ;2006-01-01;669
DZ;2007-01-01;849
DZ;2008-01-01;-1
DZ;2009-01-01;-1
DZ;2010-01-01;806
DZ;2011-01-01;897
DZ;2012-01-01;900
DZ;2013-01-01;840
DZ;2014-01-01;813
DZ;2015-01-01;805
DZ;2016-01-01;672
DZ;2017-01-01;743
DZ;2018-01-01;673
AD;1980-01-01;-1
AD;1981-01-01;-1
AD;1982-01-01;-1
AD;1983-01-01;-1
AD;1984-01-01;-1
AD;1985-01-01;-1
AD;1986-01-01;-1
AD;1987-01-01;-1
AD;1988-01-01;-1
AD;1989-01-01;-1
AD;1990-01-01;-1
AD;1991-01-01;-1
AD;1992-01-01;-1
AD;1993-01-01;-1
AD;1994-01-01;-1
AD;1995-01-01;-1
AD;1996-01-01;-1
AD;1997-01-01;-1
