CODE;DATE;BREVETS
R1;1980-01-01;0
R1;1981-01-01;0
R1;1982-01-01;0
R1;1983-01-01;0
R1;1984-01-01;0
R1;1985-01-01;0
R1;1986-01-01;0
R1;1987-01-01;0
R1;1988-01-01;0
R1;1989-01-01;0
R1;1990-01-01;0
R1;1991-01-01;0
R1;1992-01-01;0
R1;1993-01-01;0
R1;1994-01-01;0
R1;1995-01-01;0
R1;1996-01-01;0
R1;1997-01-01;10500
R1;1998-01-01;21500
R1;1999-01-01;28400
R1;2000-01-01;35300
R1;2001-01-01;44900
R1;2002-01-01;54900
R1;2003-01-01;64200
R1;2004-01-01;73800
R1;2005-01-01;84700
R1;2006-01-01;97500
R1;2007-01-01;111600
R1;2008-01-01;125700
R1;2009-01-01;138300
R1;2010-01-01;151000
R1;2011-01-01;165700
R1;2012-01-01;180500
R1;2013-01-01;195300
R1;2014-01-01;210500
R1;2015-01-01;225400
R1;2016-01-01;240600
R1;2017-01-01;257800
R1;2018-01-01;274800
AL;1980-01-01;0
AL;1981-01-01;0
AL;1982-01-01;0
AL;1983-01-01;0
AL;1984-01-01;0
AL;1985-01-01;0
AL;1986-01-01;0
AL;1987-01-01;0
AL;1988-01-01;0
AL;1989-01-01;0
AL;1990-01-01;0
AL;1991-01-01;0
AL;1992-01-01;0
AL;1993-01-01;16
AL;1994-01-01;24
AL;1995-01-01;29
AL;1996-01-01;34
AL;1997-01-01;43
AL;1998-01-01;64
AL;1999-01-01;98
AL;2000-01-01;160
AL;2001-01-01;280
AL;2002-01-01;518
AL;2003-01-01;909
AL;2004-01-01;1325
AL;2005-01-01;1711
AL;2006-01-01;2137
AL;2007-01-01;2503
AL;2008-01-01;2881
AL;2009-01-01;3242
AL;2010-01-01;3583
AL;2011-01-01;3594
AL;2012-01-01;3594
AL;2013-01-01;3598
AL;2014-01-01;3611
AL;2015-01-01;3630
AL;2016-01-01;3655
AL;2017-01-01;3679
AL;2018-01-01;3697
DZ;1980-01-01;354
DZ;1981-01-01;708
DZ;1982-01-01;1042
DZ;1983-01-01;1350
DZ;1984-01-01;1725
DZ;1985-01-01;1983
DZ;1986-01-01;2218
DZ;1987-01-01;2398
DZ;1988-01-01;2604
DZ;1989-01-01;2808
DZ;1990-01-01;3043
DZ;1991-01-01;3219
DZ;1992-01-01;3393
DZ;1993-01-01;3539
DZ;1994-01-01;3684
DZ;1995-01-01;3846
DZ;1996-01-01;4046
DZ;1997-01-01;4287
DZ;1998-01-01;4596
DZ;1999-01-01;4880
DZ;2000-01-01;5039
DZ;2001-01-01;5184
DZ;2002-01-01;5518
DZ;2003-01-01;5844
DZ;2004-01-01;6236
DZ;2005-01-01;6760
DZ;2006-01-01;7429
DZ;2007-01-01;8278
DZ;2008-01-01;8278
DZ;2009-01-01;8278
DZ;2010-01-01;9084
DZ;2011-01-01;9981
DZ;2012-01-01;10881
DZ;2013-01-01;11721
DZ;2014-01-01;12534
DZ;2015-01-01;13339
DZ;2016-01-01;14011
DZ;2017-01-01;14754
DZ;2018-01-01;15427
AD;1980-01-01;0
AD;1981-01-01;0
AD;1982-01-01;0
AD;1983-01-01;0
AD;1984-01-01;0
AD;1985-01-01;0
AD;1986-01-01;0
AD;1987-01-01;0
AD;1988-01-01;0
AD;1989-01-01;0
AD;1990-01-01;0
AD;1991-01-01;0
AD;1992-01-01;0
AD;1993-01-01;0
AD;1994-01-01;0
AD;1995-01-01;0
AD;1996-01-01;0
AD;1997-01-01;0
AD;1998-01-01;0
AD;1999-01-01;0
AD;2000-01-01;0
AD;2001-01-01;0
AD;2002-01-01;0
AD;2003-01-01;0
AD;2004-01-01;0
AD;2005-01-01;0
AD;2006-01-01;0
AD;2007-01-01;0
AD;2008-01-01;0
AD;2009-01-01;0
AD;2010-01-01;0
AD;2011-01-01;0
AD;2012-01-01;0
AD;2013-01-01;0
AD;2014-01-01;0
AD;2015-01-01;0
AD;2016-01-01;3
AD;2017-01-01;9
AD;2018-01-01;20
AO;1980-01-01;0
AO;1981-01-01;0
AO;1982-01-01;0
AO;1983-01-01;0
AO;1984-01-01;0
AO;1985-01-01;0
AO;1986-01-01;0
AO;1987-01-01;0
AO;1988-01-01;0
AO;1989-01-01;0
AO;1990-01-01;0
AO;1991-01-01;0
AO;1992-01-01;6
AO;1993-01-01;6
AO;1994-01-01;6
AO;1995-01-01;6
AO;1996-01-01;6
AO;1997-01-01;6
AO;1998-01-01;6
AO;1999-01-01;6
AO;2000-01-01;6
AO;2001-01-01;6
AO;2002-01-01;6
AO;2003-01-01;6
AO;2004-01-01;6
AO;2005-01-01;6
AO;2006-01-01;6
AO;2007-01-01;6
AO;2008-01-01;6
AO;2009-01-01;6
AO;2010-01-01;6
AO;2011-01-01;6
AO;2012-01-01;6
AO;2013-01-01;6
AO;2014-01-01;6
AO;2015-01-01;6
AO;2016-01-01;6
AO;2017-01-01;6
AO;2018-01-01;6
AG;1980-01-01;0
AG;1981-01-01;0
AG;1982-01-01;0
AG;1983-01-01;0
AG;1984-01-01;0
AG;1985-01-01;0
AG;1986-01-01;0
AG;1987-01-01;0
AG;1988-01-01;0
AG;1989-01-01;0
AG;1990-01-01;0
AG;1991-01-01;0
AG;1992-01-01;0
AG;1993-01-01;0
AG;1994-01-01;0
AG;1995-01-01;0
AG;1996-01-01;0
AG;1997-01-01;0
AG;1998-01-01;0
AG;1999-01-01;0
AG;2000-01-01;0
AG;2001-01-01;0
AG;2002-01-01;0
AG;2003-01-01;0
AG;2004-01-01;0
AG;2005-01-01;0
AG;2006-01-01;0
AG;2007-01-01;0
AG;2008-01-01;0
AG;2009-01-01;0
AG;2010-01-01;0
AG;2011-01-01;8
AG;2012-01-01;15
AG;2013-01-01;22
AG;2014-01-01;37
AG;2015-01-01;47
AG;2016-01-01;59
AG;2017-01-01;67
AG;2018-01-01;77
AR;1980-01-01;4332
AR;1981-01-01;8607
AR;1982-01-01;12351
AR;1983-01-01;15896
AR;1984-01-01;19734
AR;1985-01-01;19734
AR;1986-01-01;19734
AR;1987-01-01;19734
AR;1988-01-01;19734
AR;1989-01-01;19734
AR;1990-01-01;22644
AR;1991-01-01;25438
AR;1992-01-01;27860
AR;1993-01-01;30908
AR;1994-01-01;34422
AR;1995-01-01;38686
AR;1996-01-01;43795
AR;1997-01-01;49654
AR;1998-01-01;55974
AR;1999-01-01;62431
AR;2000-01-01;69067
AR;2001-01-01;74846
AR;2002-01-01;79707
AR;2003-01-01;84264
AR;2004-01-01;88866
AR;2005-01-01;94135
AR;2006-01-01;99752
AR;2007-01-01;105495
AR;2008-01-01;111077
AR;2009-01-01;116053
AR;2010-01-01;120770
AR;2011-01-01;125591
AR;2012-01-01;130404
AR;2013-01-01;135176
AR;2014-01-01;139858
AR;2015-01-01;143983
AR;2016-01-01;147792
AR;2017-01-01;151235
AR;2018-01-01;154902
AM;1980-01-01;0
AM;1981-01-01;0
AM;1982-01-01;0
AM;1983-01-01;0
AM;1984-01-01;0
AM;1985-01-01;0
AM;1986-01-01;0
AM;1987-01-01;0
AM;1988-01-01;0
AM;1989-01-01;0
AM;1990-01-01;0
AM;1991-01-01;0
AM;1992-01-01;0
AM;1993-01-01;214
AM;1994-01-01;447
