Année,Nom(s),Motivation(s)
1966,Alan J. Perlis ( États-Unis),Construction de compilateurs.
1967,Maurice Wilkes ( Royaume-Uni),Bibliothèque logicielle.
1968,Richard Hamming ( États-Unis),"Méthodes numériques, systèmes de codage automatique, détection et correction d’erreurs."
1969,Marvin Minsky ( États-Unis),Intelligence artificielle.
1970,James H. Wilkinson ( Royaume-Uni),"Analyse numérique, algèbre linéaire, analyse d’erreur vers l’arrière."
1971,John McCarthy ( États-Unis),Intelligence artificielle.
1972,Edsger Dijkstra ( Pays-Bas),"La science et l’art des langages de programmation, langage ALGOL."
1973,Charles Bachman ( États-Unis),Technologie des bases de données.
1974,Donald Knuth ( États-Unis),Analyse des algorithmes et conception des langages de programmation
1975,Allen Newell ( États-Unis) et Herbert A. Simon ( États-Unis),"Intelligence artificielle, la psychologie de la compréhension humaine, traitement de liste."
1976,Michael Rabin ( Israël) et Dana S. Scott ( États-Unis),Machine non déterministe. Voir Machine de Turing non déterministe.
1977,John Backus ( États-Unis),"Systèmes de programmation de haut niveau, procédures formelles pour la spécification des langages de programmation, langage FORTRAN."
1978,Robert Floyd ( États-Unis),Méthodologies pour la création de logiciels efficaces et fiables.
1979,Kenneth Iverson ( Canada),"Langages de programmation et notation mathématique, implémentation de systèmes interactifs, utilisation éducative d’APL, théorie et pratique du langage de programmation."
1980,Charles A. R. Hoare ( Royaume-Uni),Définition et conception des langages de programmation.
1981,Edgar Frank Codd ( Royaume-Uni),"Systèmes de gestion de bases de données, en particulier bases de données relationnelles."
1982,Stephen Cook[5] ( États-Unis),Complexité du calcul informatique.
1983,Kenneth Thompson ( États-Unis) et Dennis Ritchie ( États-Unis),"Théorie des systèmes d'exploitation, implémentation du système UNIX."
1984,Niklaus Wirth ( Suisse),"Développement des langages EULER, Algol W, MODULA et PASCAL."
1985,Richard Karp ( États-Unis),"Théorie des algorithmes, NP-complétude."
1986,John Hopcroft ( États-Unis) et Robert Tarjan ( États-Unis),Création et analyse de structures de données.
1987,John Cocke ( États-Unis),"Théorie des compilateurs, architecture des grands systèmes, invention des architectures RISC."
1988,Ivan Sutherland ( États-Unis),Conception assistée par ordinateur (CAO).
1989,William Kahan ( Canada),Analyse numérique.
1990,Fernando Corbató ( États-Unis),"Applications réparties, création de CTSS et Multics."
1991,Robin Milner ( Royaume-Uni),"Système de preuves formelles Logic for Computable Functions (en), ML, Calcul de systèmes communicants (CCS) (en)."
1992,Butler Lampson ( États-Unis),Environnements personnels distribués.
1993,Juris Hartmanis ( États-Unis) et Richard Stearns ( États-Unis),Théorie de la complexité (informatique théorique).
1994,Edward Feigenbaum ( États-Unis) et Raj Reddy ( Inde),Systèmes d’intelligence artificielle de grande envergure.
1995,Manuel Blum ( Venezuela),Théorie de la complexité appliquée à la cryptographie et à la vérification de programmes.
1996,Amir Pnueli ( Israël),Logique temporelle et vérification de programmes et de systèmes.
1997,Douglas Engelbart ( États-Unis),Informatique interactive.
1998,James Gray ( États-Unis),Bases de données et traitement de transactions.
1999,Frederick Brooks ( États-Unis),"Architecture des ordinateurs, systèmes d’exploitation et logiciels."
2000,Andrew Yao ( Chine),"Théorie de la calculabilité, génération de nombres pseudo-aléatoires, cryptographie et complexité de la communication."
2001,Ole-Johan Dahl ( Norvège) et Kristen Nygaard ( Norvège),Programmation orientée objet et création des langages Simula I et Simula 67.
