Pays,Lieu,Longitude,Latitude,DateDebut,DateFin
Algérie,"Centre interarmées d'essais d'engins spéciaux, base de lancement d'Hammaguir",-2.83581,31.09951,1947-01-01,1967-01-01
Kenya,"Centre spatial Luigi Broglio (San Marco), Malindi",40.2134,-2.9408,1964-01-01,1988-01-01
Chine,Base de lancement de Jiuquan,100.4633,41.11803,1970-01-01,2021-01-01
Chine,Base de lancement de Taiyuan,111.96741,39.14321,1980-01-01,2021-01-01
Chine,Base de lancement de Wenchang,110.95,19.6225,2016-01-01,2021-01-01
Chine,Base de lancement de Xichang,102.02814,28.24646,1984-01-01,2021-01-01
Inde,"Centre spatial Satish-Dhawan (Sriharikota), Andhra Pradesh",80.2351,13.7374,1971-01-01,2021-01-01
Iran,Centre spatial d'Emamshahr,55.02,36.42,1998-01-01,2021-01-01
Israël,Base aérienne de Palmachim,34.6802,31.88484,1987-01-01,2021-01-01
Japon,Base de lancement d'Uchinoura,131.07914,31.25186,1962-01-01,2021-01-01
Japon,"Base de lancement de Tanegashima, Tanegashima",130.96813,30.39096,1967-01-01,2021-01-01
Russie,"Cosmodrome de Baïkonour, Tiouratam, Kazakhstan",63.35028,45.95515,1957-01-01,2021-01-01
Russie,"Cosmodrome de Iasny (anciennement Dombarovsky), Oblast d'Orenbourg",59.85003,51.20706,2006-01-01,2021-01-01
Corée du Nord,Musudan-ri,129.66587,40.85572,1998-01-01,2021-01-01
Corée du Sud,"Centre spatial de Naro, district de Goheung",127.52793,34.42585,2008-01-01,2021-01-01
Russie,"Cosmodrome de Svobodny, Oblast de l'Amour",128.2757,51.83441,1957-01-01,2021-01-01
Russie,"Cosmodrome de Kapoustine Iar, Oblast d'Astrakhan",46.2542,48.57807,1957-01-01,2021-01-01
États-Unis,"Wallops Flight Facility, péninsule de Delmarva, Virginie",-75.47938,37.84621,1945-01-01,2021-01-01
États-Unis,"Cape Canaveral Air Force Station, Floride",-80.55852,28.46675,1956-01-01,2021-01-01
États-Unis,"Vandenberg Air Force Base, Californie",-120.60124,34.77204,1958-01-01,2021-01-01
États-Unis,"Centre spatial Kennedy, Floride",-80.604,28.6082,1963-01-01,2021-01-01
États-Unis,Pacific Spaceport Complex – Alaska,-152.33931,57.43533,1991-01-01,2021-01-01
États-Unis,"Mid-Atlantic Regional Spaceport (MARS), péninsule de Delmarva, Virginie",-75.483284,37.833378,2006-01-01,2021-01-01
Brésil,"Centre de lancement d'Alcântara, Maranhão",-44.3676,-2.316,1990-01-01,2021-01-01
France,"Centre spatial guyanais, Kourou",-52.7695,5.23739,1968-01-01,2021-01-01
Îles Marshall,Omelek,167.743083,9.048167,1950-01-01,2021-01-01
